,ID,Gender,DOB,Lead_Creation_Date,City_Code,City_Category,Employer_Code,Employer_Category1,Employer_Category2,Monthly_Income,Customer_Existing_Primary_Bank_Code,Primary_Bank_Type,Contacted,Source,Source_Category,Existing_EMI,Loan_Amount,Loan_Period,Interest_Rate,EMI,Var1,Scores
2884,APPK70643423612,Male,21/04/85,13/08/16,C10067,C,COM0000288,B,4.0,1500.0,B028,P,Y,S159,B,550.0,13000.0,5.0,18.4,333.0,2,0.00
2885,APPN50181652937,Female,17/10/86,13/08/16,C10006,A,COM0049567,B,4.0,1070.0,B014,P,N,S133,C,0.0,0.0,0.0,0.0,0.0,0,0.00
2886,APPO40204128024,Female,27/02/83,13/08/16,C10003,A,COM0007789,A,4.0,2200.0,B038,P,N,S133,B,0.0,0.0,0.0,0.0,0.0,4,0.50
2887,APPP80688237115,Female,02/11/87,13/08/16,C10005,A,COM0001169,B,4.0,1800.0,B001,P,N,S159,B,750.0,0.0,0.0,0.0,0.0,0,0.06
2888,APPQ30822522201,Male,02/05/79,13/08/16,C10058,C,COM0002152,C,4.0,2500.0,B003,G,Y,S159,B,500.0,20000.0,5.0,15.8,484.0,7,1.15
2889,APPR30537863322,Male,25/01/85,13/08/16,C10002,A,COM0003466,B,4.0,2180.0,B006,P,Y,S133,B,0.0,10000.0,1.0,18.5,919.0,4,1.02
2890,APPS80308794422,Female,21/09/92,13/08/16,C10052,C,COM0001463,B,4.0,1417.4,B002,P,N,S133,B,0.0,0.0,0.0,0.0,0.0,0,0.00
2891,APPT10154629545,Male,04/09/81,13/08/16,C10004,A,COM0057092,C,4.0,60000.0,B002,P,Y,S133,C,0.0,150000.0,5.0,16.0,3648.0,10,0.45
2892,APPU70524995621,Female,16/03/76,13/08/16,C10004,A,COM0045508,A,4.0,1500.0,B003,G,N,S159,B,500.0,0.0,0.0,0.0,0.0,0,0.00
2893,APPV10195325734,Female,08/05/90,13/08/16,C10010,A,COM0047690,B,4.0,1750.0,B002,P,N,S159,B,0.0,0.0,0.0,0.0,0.0,0,0.04
2894,APPW70693001835,Female,20/10/84,13/08/16,C10556,C,COM0000481,C,4.0,3500.0,B003,G,N,S143,B,0.0,0.0,0.0,0.0,0.0,7,1.08
2895,APPX20126299941,Male,13/10/89,13/08/16,C10015,C,COM0000550,A,4.0,2000.0,B019,G,Y,S133,C,0.0,29000.0,5.0,21.6,478.5,2,0.01
2896,APPY30494527009,Male,20/07/87,13/08/16,C10003,A,COM0000314,A,4.0,4000.0,B003,G,Y,S122,C,0.0,57000.0,4.0,16.2,1175.6,10,3.93
2897,APPA80582246202,Female,25/09/76,14/08/16,C10002,A,COM0001134,A,4.0,10900.0,B005,P,N,S133,B,6500.0,0.0,0.0,0.0,0.0,0,14.81
2898,APPB40551585325,Male,16/08/87,14/08/16,C10008,A,COM0004514,C,4.0,1700.0,B004,P,Y,S153,C,0.0,38000.0,5.0,20.0,1007.0,2,0.01
2899,APPC70957121414,Male,30/01/91,14/08/16,C10038,C,COM0006009,C,4.0,4000.0,B004,P,Y,S133,C,0.0,64000.0,5.0,16.2,1056.0,4,1.99
2900,APPD10715231531,Male,01/12/81,14/08/16,C10006,A,COM0001923,A,4.0,8000.0,B003,G,Y,S133,B,1268.8,100000.0,3.0,15.2,2750.0,10,5.84
2901,APPE90808687649,Male,15/09/79,14/08/16,C10001,A,COM0040869,B,4.0,2250.0,B003,G,Y,S159,B,0.0,30000.0,3.0,18.1,825.0,4,0.59
2902,APPF50413961716,Female,01/09/92,14/08/16,C10098,C,COM0054157,A,4.0,1475.6,B003,G,N,S133,B,250.0,0.0,0.0,0.0,0.0,0,0.00
2903,APPG20908243817,Male,20/04/88,14/08/16,C10097,C,COM0006829,C,4.0,2200.0,B003,G,Y,S133,B,296.4,20000.0,5.0,18.2,511.0,2,0.79
2904,APPH30085853904,Male,03/03/77,14/08/16,C10002,A,COM0054845,A,4.0,3500.0,B016,G,Y,S133,C,0.0,54000.0,5.0,18.0,891.0,4,0.58
2905,APPJ70395298117,Female,03/05/88,14/08/16,C10325,C,COM0021945,A,4.0,2600.0,B012,G,Y,S133,B,0.0,30000.0,5.0,17.8,495.0,7,0.58
2906,APPK50098885241,Male,29/05/91,14/08/16,C10013,B,COM0050415,B,4.0,4000.0,B021,P,Y,S143,C,0.0,64000.0,5.0,15.2,1531.0,10,7.41
2908,APPM40557667423,Male,12/10/91,14/08/16,C10010,A,COM0000047,B,3.0,20700.0,B001,P,Y,S143,B,200.0,5000.0,3.0,13.5,170.0,10,0.39
2909,APPN90635802507,Male,15/03/84,14/08/16,C10001,A,COM0012210,C,4.0,3000.0,B001,P,Y,S133,B,1000.0,43000.0,5.0,18.2,1098.0,10,0.21
2910,APPO10255121614,Male,08/01/73,14/08/16,C10001,A,COM0000012,A,2.0,7000.0,B001,P,Y,S133,B,0.0,150000.0,5.0,15.1,2475.0,10,0.50
2911,APPP40198802708,Male,28/08/79,14/08/16,C10003,A,COM0000103,A,1.0,5000.0,B001,P,Y,S137,B,0.0,100000.0,5.0,14.6,1650.0,10,0.72
2913,APPS50490952038,Female,19/07/90,14/08/16,C10003,A,COM0000007,C,1.0,1750.0,B002,P,N,S159,C,0.0,0.0,0.0,0.0,0.0,0,0.03
2914,APPU70264555229,Female,26/02/76,14/08/16,C10072,B,COM0001133,B,4.0,6750.0,B003,G,N,S133,B,0.0,0.0,0.0,0.0,0.0,7,5.06
2915,APPV70084912335,Female,18/03/86,14/08/16,C10004,A,COM0022770,A,4.0,1680.0,B004,P,N,S133,B,250.0,0.0,0.0,0.0,0.0,0,0.00
2916,APPW90958861421,Female,12/09/84,14/08/16,C10005,A,COM0012342,A,4.0,1500.0,B009,G,N,S153,C,0.0,0.0,0.0,0.0,0.0,0,0.00
2917,APPX20774969503,Male,24/04/87,14/08/16,C10002,A,COM0032490,A,4.0,4000.0,B005,P,Y,S133,B,600.0,30000.0,4.0,16.5,618.8,10,8.14
2918,APPY70486102647,Female,07/10/93,14/08/16,C10006,A,COM0031665,A,4.0,1200.0,B036,G,N,S133,C,0.0,0.0,0.0,0.0,0.0,0,0.00
2919,APPZ60298086725,Male,21/05/79,14/08/16,C10001,A,COM0000058,C,1.0,5350.0,B001,P,Y,S137,B,0.0,100000.0,5.0,13.9,1650.0,10,0.75
2920,APPA10439161828,Male,21/01/90,14/08/16,C10002,A,COM0003104,C,4.0,2500.0,B006,P,Y,S133,B,0.0,10000.0,1.0,18.1,825.0,7,1.12
2921,APPD40680491102,Male,13/06/77,15/08/16,C10005,A,COM0018456,B,4.0,1650.0,B001,P,Y,S133,B,0.0,26000.0,3.0,19.7,715.0,2,0.02
2922,APPE70110794241,Female,13/10/92,15/08/16,C10004,A,COM0034424,A,4.0,1450.0,B003,G,N,S159,C,0.0,0.0,0.0,0.0,0.0,0,0.00
2923,APPG80351625428,Male,19/07/86,15/08/16,C10439,C,COM0006265,A,4.0,2800.0,B003,G,Y,S156,B,500.0,30000.0,3.0,18.1,825.0,7,1.04
2924,APPH40555976536,Male,12/08/87,15/08/16,C10005,A,COM0038850,B,4.0,3100.0,B002,P,Y,S143,C,0.0,48000.0,5.0,17.4,792.0,7,0.58
2925,APPI10093937641,Female,05/04/91,15/08/16,C10005,A,COM0001325,A,4.0,1150.0,B003,G,N,S133,C,0.0,0.0,0.0,0.0,0.0,0,0.00
2926,APPJ40205134705,Female,17/10/88,15/08/16,C10011,B,COM0056085,A,4.0,1200.0,B028,P,N,S159,C,0.0,0.0,0.0,0.0,0.0,0,0.00
2927,APPK50603133842,Male,25/04/89,15/08/16,C10001,A,COM0001263,A,4.0,3600.0,B014,P,Y,S133,B,0.0,35000.0,5.0,16.1,577.5,10,2.23
2928,APPL80871984915,Male,19/11/75,15/08/16,C10072,B,COM0001761,B,4.0,2300.0,B003,G,Y,S159,B,0.0,20000.0,4.0,21.3,412.5,2,2.35
2929,APPM70120713041,Male,09/07/90,15/08/16,C10001,A,COM0000044,B,1.0,2700.0,B003,G,Y,S137,B,0.0,30000.0,2.0,20.0,1527.0,7,0.13
2930,APPN20046302104,Male,15/07/76,15/08/16,C10162,C,COM0006348,A,4.0,50000.0,B003,G,Y,S122,B,0.0,50000.0,5.0,15.8,1211.0,7,0.01
2931,APPP20131159326,Male,04/04/86,15/08/16,C10002,A,COM0000113,A,1.0,5000.0,B002,P,Y,S137,B,0.0,20000.0,2.0,15.2,972.0,10,0.63
2932,APPR70935415544,Male,27/04/83,15/08/16,C10002,A,COM0017727,B,4.0,1650.0,B001,P,Y,S133,B,550.0,12000.0,3.0,18.4,436.0,2,0.00
2933,APPS60252478645,Male,19/07/92,15/08/16,C10281,C,COM0000235,C,4.0,3700.0,B004,P,Y,S133,B,0.0,20000.0,2.0,15.9,825.0,7,1.35
2934,APPT80143848748,Female,07/09/91,15/08/16,C10001,A,COM0004980,A,4.0,1000.0,B003,G,N,S158,B,500.0,0.0,0.0,0.0,0.0,0,0.00
2935,APPU30046184834,Female,20/07/82,15/08/16,C10005,A,COM0018936,C,4.0,1700.0,B013,G,N,S159,C,0.0,0.0,0.0,0.0,0.0,0,0.00
2936,APPV70995028941,Male,11/01/86,15/08/16,C10005,A,COM0012561,A,4.0,20000.0,B002,P,Y,S159,B,0.0,20000.0,3.0,15.2,696.0,10,0.20
2937,APPX20610979133,Male,07/12/90,15/08/16,C10006,A,COM0000927,A,4.0,2400.0,B006,P,Y,S122,C,0.0,35000.0,5.0,21.6,577.5,2,0.13
2938,APPA40074251413,Male,15/05/86,15/08/16,C10117,C,COM0008039,A,4.0,19950.0,B001,P,Y,S159,B,0.0,20000.0,5.0,20.0,530.0,7,0.01
2939,APPC50120403615,Female,30/03/89,15/08/16,C10001,A,COM0030973,B,4.0,3300.0,B006,P,N,S122,B,0.0,0.0,0.0,0.0,0.0,0,1.51
2940,APPD10360377735,Female,01/06/92,15/08/16,C10164,C,COM0025839,A,4.0,850.0,B022,G,N,S133,B,500.0,0.0,0.0,0.0,0.0,0,0.00
2941,APPF40055459919,Female,01/12/90,15/08/16,C10011,B,COM0007310,B,4.0,1200.0,B003,G,N,S127,B,0.0,0.0,0.0,0.0,0.0,0,0.00
2942,APPG40682843012,Male,25/07/82,15/08/16,C10006,A,COM0031193,C,4.0,2200.0,B001,P,Y,S133,B,195.0,15000.0,3.0,20.0,412.5,2,0.65
2943,APPH70479451104,Female,06/07/91,15/08/16,C10001,A,COM0000603,C,4.0,3600.0,B001,P,N,S133,B,0.0,0.0,0.0,0.0,0.0,10,1.52
2944,APPK50491597436,Male,13/03/87,15/08/16,C10004,A,COM0000385,B,4.0,2900.0,B007,G,Y,S133,B,0.0,50000.0,5.0,17.0,825.0,7,0.38
2945,APPL80039637512,Male,07/09/87,15/08/16,C10034,C,COM0000209,C,4.0,2100.0,B001,P,Y,S133,B,680.0,10000.0,4.0,13.5,271.0,2,1.28
2946,APPM30087735631,Male,21/09/85,15/08/16,C10003,A,COM0044410,A,4.0,5000.0,B008,G,Y,S159,B,500.0,20000.0,2.0,15.2,972.0,10,3.65
2949,APPQ20146336039,Female,06/08/94,15/08/16,C10013,B,COM0000495,A,4.0,1000.0,B003,G,N,S158,B,0.0,0.0,0.0,0.0,0.0,0,0.00
2950,APPS20899959218,Female,10/07/82,15/08/16,C10002,A,COM0001256,A,4.0,14800.0,B023,G,N,S159,B,1400.0,0.0,0.0,0.0,0.0,10,1.44
2951,APPT20174791313,Male,22/09/90,15/08/16,C10004,A,COM0023038,A,4.0,4500.0,B001,P,Y,S159,C,0.0,74000.0,5.0,16.3,1221.0,7,2.67
2952,APPU80764856402,Male,19/08/75,15/08/16,C10001,A,COM0000269,C,4.0,3800.0,B014,P,Y,S133,B,0.0,20000.0,3.0,17.0,713.0,10,4.55
2953,APPV80093118509,Male,26/01/88,15/08/16,C10001,A,COM0000006,C,1.0,6500.0,B002,P,Y,S133,C,0.0,117000.0,5.0,13.0,2662.0,7,4.05
2954,APPW40399528612,Female,21/05/85,15/08/16,C10012,A,COM0000098,C,3.0,2500.0,B002,P,Y,S133,C,0.0,35000.0,4.0,15.5,983.0,7,0.68
2955,APPX20287797701,Male,14/09/84,15/08/16,C10004,A,COM0051523,B,4.0,5400.0,B002,P,Y,S137,B,400.0,50000.0,4.0,22.0,1575.0,10,0.04
2956,APPY40373568802,Female,26/11/89,15/08/16,C10007,A,COM0000663,C,4.0,2400.0,B004,P,Y,S133,B,0.0,20000.0,5.0,18.8,330.0,2,0.24
2958,APPA80233766015,Male,30/07/86,15/08/16,C10006,A,COM0048263,A,4.0,7000.0,B002,P,Y,S133,B,0.0,100000.0,5.0,15.6,1650.0,10,1.77
2960,APPC70820208246,Male,01/06/83,15/08/16,C10004,A,COM0001410,C,4.0,3500.0,B012,G,Y,S133,C,0.0,41000.0,3.0,15.0,1421.0,7,2.00
2961,APPD50449895342,Female,01/06/85,15/08/16,C10003,A,COM0037555,B,4.0,3180.0,B003,G,Y,S133,C,0.0,49000.0,5.0,14.5,1153.0,4,1.21
2962,APPF10448797525,Male,07/01/76,15/08/16,C10001,A,COM0001025,A,4.0,22500.0,B004,P,Y,S159,B,0.0,30000.0,4.0,13.5,812.0,10,0.81
2963,APPH50324379714,Male,05/07/89,15/08/16,C10001,A,COM0000636,C,4.0,1505.0,B001,P,Y,S122,B,0.0,10000.0,3.0,21.1,275.0,2,0.00
2964,APPI30134059834,Male,16/12/88,15/08/16,C10002,A,COM0000024,C,2.0,2700.0,B006,P,Y,S134,C,0.0,44000.0,5.0,13.0,1001.0,7,1.18
2965,APPJ70198483929,Female,05/05/94,15/08/16,C10002,A,COM0025715,A,4.0,1150.0,B021,P,N,S133,B,0.0,0.0,0.0,0.0,0.0,0,0.00
2967,APPL40692359111,Female,14/04/88,15/08/16,C10013,B,COM0000009,A,1.0,2200.0,B002,P,N,S133,B,620.0,0.0,0.0,0.0,0.0,2,0.51
2969,APPN90496492319,Male,10/08/78,15/08/16,C10088,C,COM0053149,A,4.0,4500.0,B012,G,Y,S143,B,0.0,30000.0,3.0,15.9,825.0,7,2.09
2970,APPO40139768448,Male,17/08/85,15/08/16,C10191,C,COM0040974,B,4.0,2640.0,B006,P,Y,S133,B,0.0,50000.0,5.0,18.2,1276.0,7,1.11
2971,APPP30125638535,Female,17/03/82,15/08/16,C10003,A,COM0005140,C,4.0,1700.0,B002,P,N,S133,B,600.0,0.0,0.0,0.0,0.0,0,0.00
2972,APPQ10603218607,Male,23/08/91,15/08/16,C10029,C,COM0007555,C,4.0,2150.0,B004,P,Y,S143,C,0.0,31000.0,5.0,18.2,791.0,2,2.01
2973,APPR80840798729,Male,20/07/93,15/08/16,C10002,A,COM0046959,A,4.0,2400.0,B029,G,Y,S159,C,0.0,35000.0,5.0,24.0,1007.0,4,0.07
2974,APPS80019742844,Male,15/08/85,15/08/16,C10002,A,COM0023789,C,4.0,2000.0,B034,G,Y,S122,B,0.0,20000.0,4.0,20.4,412.5,4,0.15
2975,APPT60168689942,Female,13/02/68,15/08/16,C10024,A,COM0008876,C,4.0,3450.0,B028,P,N,S159,B,496.8,0.0,0.0,0.0,0.0,7,0.80
2976,APPU20090228024,Male,13/06/80,15/08/16,C10001,A,COM0001653,A,4.0,2100.0,B037,G,Y,S133,B,720.0,14000.0,3.0,24.0,385.0,2,0.04
2977,APPV80112841113,Male,03/02/90,15/08/16,C10120,C,COM0000015,C,3.0,1700.0,B003,G,Y,S133,B,0.0,10000.0,2.0,18.4,501.0,2,0.00
2978,APPW70545713237,Male,28/07/87,15/08/16,C10029,C,COM0004974,C,4.0,1880.0,B002,P,Y,S133,B,530.0,20000.0,5.0,18.4,512.0,2,0.12
2979,APPX60906494312,Male,07/03/81,15/08/16,C10027,A,COM0001105,B,4.0,5000.0,B014,P,Y,S133,B,1500.0,10000.0,2.0,15.5,487.0,7,9.42
2980,APPY80188817426,Female,05/12/85,15/08/16,C10002,A,COM0001178,B,4.0,7000.0,B002,P,N,S133,B,3000.0,0.0,0.0,0.0,0.0,0,3.74
2981,APPA60607644609,Male,13/10/79,15/08/16,C10016,B,COM0000049,A,1.0,2300.0,B003,G,Y,S133,B,0.0,10000.0,4.0,18.9,206.2,2,0.17
2982,APPB30361777731,Male,03/03/83,15/08/16,C10002,A,COM0001380,B,4.0,3900.0,B004,P,Y,S133,B,0.0,50000.0,4.0,16.3,1031.2,10,3.18
2983,APPC50325887821,Male,28/07/87,15/08/16,C10029,C,COM0004974,C,4.0,1880.0,B002,P,Y,S133,B,530.0,20000.0,5.0,18.4,512.0,2,0.12
2984,APPD90854632913,Female,01/09/85,15/08/16,C10001,A,COM0047538,B,4.0,2500.0,B004,P,N,S133,B,0.0,0.0,0.0,0.0,0.0,7,0.96
2985,APPE70977056045,Female,20/08/89,15/08/16,C10006,A,COM0000319,B,4.0,4800.0,B041,P,N,S133,B,0.0,0.0,0.0,0.0,0.0,0,3.09
2986,APPF80587682137,Female,30/03/88,15/08/16,C10001,A,COM0001662,A,4.0,2650.0,B010,G,N,S133,B,0.0,0.0,0.0,0.0,0.0,7,1.01
2987,APPG60678629233,Male,07/01/88,15/08/16,C10224,C,COM0000723,B,4.0,2500.0,B001,P,Y,S122,B,300.0,10000.0,5.0,18.2,255.0,7,2.17
2988,APPI60498471425,Male,06/07/90,15/08/16,C10006,A,COM0053190,B,4.0,2000.0,B004,P,Y,S153,C,0.0,29000.0,5.0,20.9,478.5,2,0.17
2989,APPJ40551531502,Male,28/01/82,15/08/16,C10033,C,COM0000284,C,4.0,3400.0,B001,P,Y,S133,C,0.0,57000.0,5.0,15.2,940.5,4,2.10
2990,APPK30626529603,Female,04/10/89,15/08/16,C10006,A,COM0041284,C,4.0,3600.0,B023,G,N,S133,B,1500.0,0.0,0.0,0.0,0.0,0,0.52
2991,APPL20773273706,Male,04/04/85,15/08/16,C10001,A,COM0000057,A,3.0,3800.0,B002,P,Y,S143,B,0.0,80000.0,5.0,14.0,1861.0,10,1.43
2992,APPN40628691935,Male,27/06/89,15/08/16,C10002,A,COM0053318,C,4.0,2500.0,B040,P,Y,S159,C,0.0,36000.0,5.0,19.0,934.0,4,0.73
2993,APPO50323627044,Female,26/11/90,15/08/16,C10006,A,COM0000017,C,1.0,1000.0,B001,P,N,S159,C,0.0,0.0,0.0,0.0,0.0,0,0.00
2994,APPQ70130218202,Male,10/12/81,15/08/16,C10002,A,COM0000013,A,1.0,5000.0,B010,G,Y,S133,B,0.0,50000.0,5.0,14.9,825.0,10,2.84
2995,APPR10888379317,Male,23/09/87,15/08/16,C10012,A,COM0012694,A,4.0,6500.0,B002,P,Y,S133,B,0.0,150000.0,5.0,15.5,2475.0,10,0.44
2996,APPT60551846521,Female,11/11/85,15/08/16,C10005,A,COM0004044,A,4.0,1200.0,B021,P,N,S133,C,0.0,0.0,0.0,0.0,0.0,0,0.00
2997,APPU40902328601,Male,22/12/88,15/08/16,C10032,C,COM0000603,C,4.0,2160.0,B002,P,Y,S134,B,225.5,30000.0,4.0,18.2,885.0,2,1.14
2998,APPV40399301737,Male,16/09/92,15/08/16,C10015,C,COM0000051,C,1.0,1200.0,B001,P,Y,S133,C,0.0,27000.0,5.0,20.0,715.0,2,0.01
2999,APPW50503025823,Male,11/07/89,15/08/16,C10002,A,COM0000810,A,4.0,5000.0,B004,P,Y,S122,C,0.0,82000.0,5.0,16.2,1353.0,7,3.64
3000,APPX40000164944,Female,04/03/91,15/08/16,C10003,A,COM0000037,A,1.0,2000.0,B001,P,Y,S133,C,0.0,31000.0,5.0,19.0,511.5,4,0.49
3001,APPY20713035042,Female,15/09/83,15/08/16,C10002,A,COM0000006,C,1.0,4400.0,B001,P,Y,S133,B,0.0,30000.0,1.0,13.0,2680.0,10,2.16
3002,APPZ40351839138,Male,19/07/79,15/08/16,C10001,A,COM0000058,C,1.0,5000.0,B002,P,Y,S137,B,0.0,100000.0,5.0,14.1,1650.0,10,0.95
3003,APPB20388829332,Male,13/10/85,16/08/16,C10001,A,COM0026812,B,4.0,3000.0,B008,G,Y,S143,C,0.0,45000.0,5.0,20.0,1192.0,4,1.76
3004,APPC90091584422,Female,13/04/87,16/08/16,C10004,A,COM0041973,A,4.0,2000.0,B018,G,N,S159,B,900.0,0.0,0.0,0.0,0.0,0,0.14
3005,APPD60278043506,Male,25/06/94,16/08/16,C10002,A,COM0000336,C,4.0,1600.0,B001,P,Y,S122,C,0.0,37000.0,5.0,18.4,948.0,2,0.01
3006,APPE10455198611,Male,10/08/90,16/08/16,C10004,A,COM0006299,A,4.0,4200.0,B005,P,Y,S133,B,0.0,20000.0,1.0,16.0,1650.0,10,0.50
3007,APPF70637928721,Female,18/07/88,16/08/16,C10001,A,COM0000869,A,4.0,2000.0,B013,G,Y,S133,C,0.0,29000.0,5.0,21.6,478.5,4,0.02
3008,APPG30902712843,Female,26/11/83,16/08/16,C10002,A,COM0036345,A,4.0,27000.0,B011,P,Y,S133,B,0.0,10000.0,1.0,15.6,825.0,10,0.05
3009,APPI40185994002,Female,15/07/91,16/08/16,C10002,A,COM0022450,A,4.0,3000.0,B026,P,N,S133,B,2800.0,0.0,0.0,0.0,0.0,0,0.25
3010,APPJ20729746147,Male,15/05/91,16/08/16,C10013,B,COM0000010,A,1.0,3000.0,B002,P,Y,S133,B,804.5,49000.0,5.0,16.3,808.5,10,0.95
3011,APPK30232077245,Male,03/03/66,16/08/16,C10001,A,COM0000230,A,4.0,4500.0,B003,G,Y,S133,C,0.0,74000.0,5.0,16.3,1221.0,7,0.93
3012,APPL80431631315,Male,05/07/89,16/08/16,C10001,A,COM0000636,C,4.0,1505.0,B001,P,Y,S133,B,0.0,10000.0,3.0,21.1,275.0,2,0.00
3013,APPM10728331429,Male,10/11/83,16/08/16,C10007,A,COM0023117,A,4.0,1835.0,B004,P,Y,S133,B,379.7,10000.0,3.0,22.8,275.0,2,0.04
3014,APPN10395885508,Female,03/08/89,16/08/16,C10005,A,COM0000892,C,4.0,1500.0,B003,G,N,S133,B,0.0,0.0,0.0,0.0,0.0,0,0.00
3015,APPO70041663625,Male,15/04/88,16/08/16,C10035,C,COM0000009,A,1.0,1600.0,B003,G,Y,S133,B,0.0,10000.0,2.0,18.4,501.0,2,0.00
3016,APPP30675786733,Female,06/10/97,16/08/16,C10458,C,COM0002955,A,4.0,800.0,B010,G,N,S133,B,0.0,0.0,0.0,0.0,0.0,0,0.00
3017,APPQ40613914835,Female,23/05/86,16/08/16,C10002,A,COM0000028,B,3.0,1444.4,B015,P,N,S133,B,0.0,0.0,0.0,0.0,0.0,0,0.00
3018,APPR20260652901,Male,03/05/91,16/08/16,C10001,A,COM0004378,A,4.0,2960.0,B001,P,Y,S133,B,0.0,30000.0,2.0,16.2,1472.0,7,1.23
3019,APPS20124058027,Female,14/09/91,16/08/16,C10004,A,COM0000041,B,1.0,3500.0,B026,P,Y,S133,B,1300.0,10000.0,2.0,16.4,491.0,10,11.80
3020,APPT60661798143,Male,27/05/76,16/08/16,C10045,C,COM0044764,B,4.0,2500.0,B004,P,Y,S133,B,0.0,10000.0,3.0,18.4,275.0,7,1.03
3021,APPU90989698203,Female,13/12/86,16/08/16,C10005,A,COM0000035,B,3.0,1500.0,B002,P,N,S159,B,0.0,0.0,0.0,0.0,0.0,0,0.00
3022,APPV40555975309,Male,03/03/90,16/08/16,C10003,A,COM0000758,B,4.0,2300.0,B007,G,Y,S143,B,0.0,20000.0,3.0,20.4,550.0,4,1.10
3023,APPW60417513403,Male,06/09/89,16/08/16,C10001,A,COM0000078,B,1.0,6600.0,B026,P,Y,S143,B,1000.0,20000.0,3.0,15.0,550.0,10,4.99
3024,APPX40626871523,Male,10/02/81,16/08/16,C10010,A,COM0006585,B,4.0,7600.0,B017,G,Y,S122,B,3000.0,50000.0,5.0,14.8,825.0,10,6.89
3025,APPY10696058648,Male,30/06/79,16/08/16,C10005,A,COM0000237,A,4.0,3452.7,B034,G,Y,S122,C,0.0,53000.0,5.0,29.5,1698.0,4,0.06
3027,APPA10831166844,Female,28/03/93,16/08/16,C10004,A,COM0010306,A,4.0,800.0,B002,P,N,S133,C,0.0,0.0,0.0,0.0,0.0,0,0.00
3028,APPB40282299943,Male,25/08/88,16/08/16,C10002,A,COM0000164,B,4.0,1700.0,B001,P,Y,S133,C,0.0,39000.0,5.0,18.4,999.0,2,0.01
3029,APPC70850968049,Male,26/01/89,16/08/16,C10001,A,COM0000179,B,4.0,2700.0,B001,P,Y,S133,B,500.0,30000.0,5.0,16.8,742.0,10,1.64
3030,APPD50432024132,Male,05/11/86,16/08/16,C10002,A,COM0001781,A,4.0,3500.0,B001,P,Y,S133,B,0.0,30000.0,4.0,17.4,618.8,10,2.46
3031,APPE90745282245,Male,19/12/88,16/08/16,C10006,A,COM0000354,C,4.0,2250.0,B016,G,Y,S133,B,0.0,10000.0,3.0,18.7,275.0,2,0.37
3032,APPH40386137511,Male,04/09/69,16/08/16,C10013,B,COM0001462,A,4.0,2700.0,B039,G,Y,S143,C,0.0,40000.0,5.0,15.2,957.0,7,0.78
3033,APPJ90792011741,Female,02/12/87,16/08/16,C10006,A,COM0001419,A,4.0,7500.0,B001,P,N,S133,B,0.0,0.0,0.0,0.0,0.0,10,9.04
3034,APPK60523628815,Female,08/05/83,16/08/16,C10009,B,COM0049680,A,4.0,1200.0,B003,G,N,S133,B,0.0,0.0,0.0,0.0,0.0,0,0.00
3035,APPM60135338047,Male,09/02/81,16/08/16,C10006,A,COM0007520,B,4.0,3941.7,B002,P,Y,S133,B,0.0,50000.0,5.0,18.0,1270.0,0,0.68
3036,APPN40925204135,Male,27/01/89,16/08/16,C10001,A,COM0000101,C,1.0,2000.0,B011,P,Y,S133,B,0.0,20000.0,5.0,16.8,330.0,4,0.28
3037,APPO20802759228,Male,25/07/81,16/08/16,C10003,A,COM0012540,B,4.0,5400.0,B007,G,Y,S137,B,0.0,50000.0,4.0,17.0,1443.0,10,0.49
3038,APPP20185644333,Male,24/06/90,16/08/16,C10006,A,COM0000503,A,4.0,2400.0,B006,P,Y,S122,B,0.0,30000.0,4.0,25.3,618.8,2,0.09
3039,APPS70827546626,Male,24/12/93,16/08/16,C10009,B,COM0004480,B,4.0,1700.8,B001,P,Y,S122,B,0.0,30000.0,5.0,18.9,495.0,2,0.01
3040,APPU10842311813,Female,11/01/82,16/08/16,C10001,A,COM0000005,A,1.0,5000.0,B001,P,Y,S122,B,0.0,30000.0,2.0,14.2,1444.0,10,0.29
3041,APPV20686617944,Female,22/03/65,16/08/16,C10012,A,COM0022474,B,4.0,2800.0,B030,P,N,S133,B,0.0,0.0,0.0,0.0,0.0,7,1.50
3042,APPW80350007009,Female,09/04/89,16/08/16,C10004,A,COM0000114,B,2.0,4896.5,B001,P,Y,S122,B,0.0,20000.0,1.0,15.5,1810.0,10,0.35
3043,APPY90916545205,Female,13/07/89,16/08/16,C10002,A,COM0028029,A,4.0,2000.0,B035,P,Y,S133,C,0.0,30000.0,4.0,18.2,885.0,4,0.30
3045,APPA90154424445,Male,11/07/87,16/08/16,C10003,A,COM0037263,C,4.0,2400.0,B003,G,Y,S133,B,0.0,30000.0,3.0,18.2,825.0,4,0.69
3046,APPB60799292521,Male,15/07/90,16/08/16,C10001,A,COM0000310,B,4.0,3700.0,B001,P,Y,S133,C,0.0,64000.0,4.0,16.4,1825.0,10,1.44
3047,APPC90800212604,Male,15/12/91,16/08/16,C10002,A,COM0005878,A,4.0,3000.0,B002,P,Y,S133,B,0.0,11000.0,1.0,19.0,1014.0,7,2.26
3048,APPD20443451721,Male,09/04/78,16/08/16,C10240,C,COM0003753,C,4.0,3300.0,B003,G,Y,S159,B,0.0,90000.0,5.0,14.8,1485.0,7,0.36
